index,Volume Tandon (L),Waktu (s),Delta TDS (ppm)
17,90,18,41.54436235372139
18,90,19,43.69529615835136
19,90,20,45.7389790752859
20,90,21,47.32152132168971
21,90,22,49.614342604420294
22,90,23,51.33477003181548
23,90,24,53.90418447345947
24,90,25,55.61148744274823
25,90,26,58.55423496895505
26,90,27,60.432596828786004
27,90,28,63.02604923943278
28,90,29,65.36707965828948
29,90,30,67.63608446269781
30,90,31,69.22814562647855
31,90,32,70.29232693289477
32,90,33,69.97652865458588
33,90,34,70.82687941815597
34,90,35,73.67283853489366
35,90,36,77.23236337020808
36,90,37,79.34687949441579
37,90,38,81.41122079330579
38,90,39,82.94194411105829
39,90,40,85.05012795102151
40,90,41,87.16366602714466
41,90,42,88.69186999443704
42,90,43,91.50774546909541
43,90,44,92.57446156209112
44,90,45,95.03919058013925
45,90,46,96.6102523530383
46,90,47,99.28085060949772
47,90,48,100.37446110282495
48,90,49,103.04485195279611
49,90,50,105.3870346756134
50,90,51,107.58974542233652
51,90,52,108.91608877370209
52,90,53,110.31296148202576
53,90,54,112.94975772023625
54,90,55,114.59571503201133
55,90,56,116.08487217240001
56,90,57,117.57308838537317
57,90,58,119.85460231694569
58,90,59,120.9861174503475
59,90,60,125.557871561113
0,100,1,1.9542528072999996
1,100,2,4.158030944895101
2,100,3,5.661455669650895
3,100,4,8.756896610248708
4,100,5,11.076910568374725
5,100,6,12.946363373065235
6,100,7,15.120591135025105
7,100,8,17.486868351509337
8,100,9,20.02715660109228
9,100,10,21.919074615935546
10,100,11,23.861925587048592
11,100,12,26.056967072082095
12,100,13,29.072872764377117
13,100,14,31.38430983073627
14,100,15,34.592268504383036
15,100,16,35.73596900656504
16,100,17,37.69356490484857
17,100,18,40.149993191279464
18,100,19,42.03332556281549
19,100,20,45.59680865322543
20,100,21,47.80967129515251
21,100,22,50.255697501140624
22,100,23,52.48627734340033
23,100,24,54.467302153316
24,100,25,57.07252877274161
25,100,26,59.18871283427397
26,100,27,61.742506577995094
27,100,28,64.45707156562032
28,100,29,66.72165740964093
29,100,30,69.25388455140809
30,100,31,71.59378565681762
31,100,32,74.40077146144621
32,100,33,79.2652296480564
33,100,34,81.87579311674767
34,100,35,83.65533685581256
35,100,36,86.23541036087244
36,100,37,86.89019595700044
37,100,38,89.20576118868124
38,100,39,92.2330756172507
39,100,40,96.14251852526186
40,100,41,97.27000268650102
41,100,42,101.35325728427998
42,100,43,103.0198182978038
43,100,44,104.22320738108067
44,100,45,106.06202336411494
45,100,46,108.0353701144722
46,100,47,108.72658914721926
47,100,48,111.46889128554812
48,100,49,113.99596173101388
49,100,50,116.19969846572624
50,100,51,117.69825225964307
51,100,52,119.75972698373073
52,100,53,122.13255125829012
53,100,54,124.79835845211906
54,100,55,125.84314482733532
55,100,56,127.19841485965443
56,100,57,130.11145051841862
57,100,58,132.33089632660412
58,100,59,135.17555575010505
59,100,60,137.5113797043024
